"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 03 23:11:55 COT 2025","Tue Jun 03 23:11:56 COT 2025","1085","","Responsive tests - Mobile View (iPhone 8)","","","","Add product to cart in mobile view",""
"passed","Tue Jun 03 23:11:54 COT 2025","Tue Jun 03 23:11:55 COT 2025","1240","","Responsive tests - Mobile View (iPhone 8)","","","","Open navigation menu",""
"passed","Tue Jun 03 23:12:08 COT 2025","Tue Jun 03 23:12:09 COT 2025","1275","","Shopping cart","","","","Remove a product from the cart",""
"passed","Tue Jun 03 23:12:07 COT 2025","Tue Jun 03 23:12:08 COT 2025","1180","","Shopping cart","","","","Verify that the products are in the cart",""
"passed","Tue Jun 03 23:12:03 COT 2025","Tue Jun 03 23:12:04 COT 2025","927","","Login Online Store","","","","Successful login with valid user",""
"passed","Tue Jun 03 23:12:04 COT 2025","Tue Jun 03 23:12:05 COT 2025","832","","Login Online Store","","","","Login failed with incorrect credentials",""
"passed","Tue Jun 03 23:11:52 COT 2025","Tue Jun 03 23:11:54 COT 2025","1302","","Responsive tests - Mobile View (iPhone 8)","","","","Successful login in mobile view",""
"passed","Tue Jun 03 23:12:00 COT 2025","Tue Jun 03 23:12:01 COT 2025","900","","Add to shopping cart ","","","","Go to cart from the icon",""
"passed","Tue Jun 03 23:12:09 COT 2025","Tue Jun 03 23:12:10 COT 2025","1061","","Shopping cart","","","","Navigate to checkout from the cart",""
"passed","Tue Jun 03 23:11:59 COT 2025","Tue Jun 03 23:12:00 COT 2025","1068","","Add to shopping cart ","","","","Add two products to cart and verify",""
"passed","Tue Jun 03 23:11:58 COT 2025","Tue Jun 03 23:11:59 COT 2025","1036","","Add to shopping cart ","","","","Add a product to cart",""
